SampleID	F	R	Extraction_batch	PCR_batch	Plate	Well	Ale_ID	SampleOrigin	IsolationMethod	Tissue	Site	Tree	GlobalSampleID	SampleType	SequencingType
Leaf-ITS-F12-R8	F12	R8	4	1	1	H12	NA	Microbiome	NA	Leaf	HLKH	A6	Microbiome-Leaf-HLKH-A6	Sample	NovaSeq
Leaf-ITS-F12-R9	F12	R9	7	1	2	A12	NA	Microbiome	NA	Leaf	GMKW	A9	Microbiome-Leaf-GMKW-A9	Sample	NovaSeq
Leaf-ITS-F12-R10	F12	R10	7	1	2	B12	NA	Microbiome	NA	Leaf	HOEF	C3	Microbiome-Leaf-HOEF-C3	Sample	NovaSeq
Leaf-ITS-F12-R11	F12	R11	7	1	2	C12	NA	Microbiome	NA	Leaf	HTCH	A14	Microbiome-Leaf-HTCH-A14	Sample	NovaSeq
Leaf-ITS-F12-R12	F12	R12	7	1	2	D12	NA	Microbiome	NA	Leaf	HTCH	A8	Microbiome-Leaf-HTCH-A8	Sample	NovaSeq
Leaf-ITS-F12-R13	F12	R13	7	1	2	E12	NA	Microbiome	NA	Leaf	LNGDL	A8	Microbiome-Leaf-LNGDL-A8	Sample	NovaSeq
Leaf-ITS-F12-R14	F12	R14	7	1	2	F12	NA	Microbiome	NA	Leaf	LNGDL	C5	Microbiome-Leaf-LNGDL-C5	Sample	NovaSeq
Leaf-ITS-F12-R15	F12	R15	7	1	2	G12	NA	Microbiome	NA	Leaf	LNGDL	A12	Microbiome-Leaf-LNGDL-A12	Sample	NovaSeq
Leaf-ITS-F12-R16	F12	R16	7	1	2	H12	NA	Microbiome	NA	Leaf	LNGDL	A17	Microbiome-Leaf-LNGDL-A17	Sample	NovaSeq
Leaf-ITS-F12-R17	NA	NA	NA	NA	NA	NA	NA	Microbiome	NA	Leaf	NA	NA	NA	Unused	NovaSeq
Leaf-ITS-F12-R18	NA	NA	NA	NA	NA	NA	NA	Microbiome	NA	Leaf	NA	NA	NA	Unused	NovaSeq
Leaf-ITS-F12-R19	NA	NA	NA	NA	NA	NA	NA	Microbiome	NA	Leaf	NA	NA	NA	Unused	NovaSeq
Leaf-ITS-F12-R20	NA	NA	NA	NA	NA	NA	NA	Microbiome	NA	Leaf	NA	NA	NA	Unused	NovaSeq
Leaf-ITS-F12-R21	NA	NA	NA	NA	NA	NA	NA	Microbiome	NA	Leaf	NA	NA	NA	Unused	NovaSeq
Leaf-ITS-F12-R22	NA	NA	NA	NA	NA	NA	NA	Microbiome	NA	Leaf	NA	NA	NA	Unused	NovaSeq
Leaf-ITS-F12-R23	NA	NA	NA	NA	NA	NA	NA	Microbiome	NA	Leaf	NA	NA	NA	Unused	NovaSeq
Leaf-ITS-F12-R24	NA	NA	NA	NA	NA	NA	NA	Microbiome	NA	Leaf	NA	NA	NA	Unused	NovaSeq
Leaf-ITS-F13-R1	F13	R1	10	1	4	A1	NA	Microbiome	NA	Leaf	RCHMD	C5	Microbiome-Leaf-RCHMD-C5	Sample	NovaSeq
Leaf-ITS-F13-R2	F13	R2	10	1	4	B1	NA	Microbiome	NA	Leaf	SAW	C2	Microbiome-Leaf-SAW-C2	Sample	NovaSeq
Leaf-ITS-F13-R3	F13	R3	10	1	4	C1	NA	Microbiome	NA	Leaf	STRTS	C5	Microbiome-Leaf-STRTS-C5	Sample	NovaSeq
Leaf-ITS-F13-R4	F13	R4	10	1	4	D1	NA	Microbiome	NA	Leaf	TAWWD	C5	Microbiome-Leaf-TAWWD-C5	Sample	NovaSeq
Leaf-ITS-F13-R5	F13	R5	10	1	4	E1	NA	Microbiome	NA	Leaf	WINDW	A17	Microbiome-Leaf-WINDW-A17	Sample	NovaSeq
Leaf-ITS-F13-R6	F13	R6	10	1	4	F1	NA	Microbiome	NA	Leaf	WINDW	A15	Microbiome-Leaf-WINDW-A15	Sample	NovaSeq
Leaf-ITS-F13-R7	F13	R7	11	1	4	G1	NA	Microbiome	NA	Leaf	CDS	C1	Microbiome-Leaf-CDS-C1	Sample	NovaSeq
Leaf-ITS-F13-R8	F13	R8	11	1	4	H1	NA	Microbiome	NA	Leaf	CDS	C2	Microbiome-Leaf-CDS-C2	Sample	NovaSeq
Leaf-ITS-F13-R9	NA	NA	NA	NA	NA	NA	NA	Microbiome	NA	Leaf	NA	NA	NA	Unused	NovaSeq
Leaf-ITS-F13-R10	NA	NA	NA	NA	NA	NA	NA	Microbiome	NA	Leaf	NA	NA	NA	Unused	NovaSeq
Leaf-ITS-F13-R11	NA	NA	NA	NA	NA	NA	NA	Microbiome	NA	Leaf	NA	NA	NA	Unused	NovaSeq
Leaf-ITS-F13-R12	NA	NA	NA	NA	NA	NA	NA	Microbiome	NA	Leaf	NA	NA	NA	Unused	NovaSeq
Leaf-ITS-F13-R13	NA	NA	NA	NA	NA	NA	NA	Microbiome	NA	Leaf	NA	NA	NA	Unused	NovaSeq
Leaf-ITS-F13-R14	NA	NA	NA	NA	NA	NA	NA	Microbiome	NA	Leaf	NA	NA	NA	Unused	NovaSeq
Leaf-ITS-F13-R15	NA	NA	NA	NA	NA	NA	NA	Microbiome	NA	Leaf	NA	NA	NA	Unused	NovaSeq
Leaf-ITS-F13-R16	NA	NA	NA	NA	NA	NA	NA	Microbiome	NA	Leaf	NA	NA	NA	Unused	NovaSeq
Leaf-ITS-F13-R17	F13	R17	LR	1	3	A1	NA	Microbiome	NA	Leaf	LNGDL	A19	Microbiome-Leaf-LNGDL-A19	Sample	NovaSeq
Leaf-ITS-F13-R18	F13	R18	7	1	3	B1	NA	Microbiome	NA	Leaf	LWBKR	C5	Microbiome-Leaf-LWBKR-C5	Sample	NovaSeq
Leaf-ITS-F13-R19	F13	R19	7	1	3	C1	NA	Microbiome	NA	Leaf	MALDW	C2	Microbiome-Leaf-MALDW-C2	Sample	NovaSeq
Leaf-ITS-F13-R20	F13	R20	7	1	3	D1	NA	Microbiome	NA	Leaf	MOCCA	C2	Microbiome-Leaf-MOCCA-C2	Sample	NovaSeq
Leaf-ITS-F13-R21	F13	R21	7	1	3	E1	NA	Microbiome	NA	Leaf	MOCCA	A12	Microbiome-Leaf-MOCCA-A12	Sample	NovaSeq
Leaf-ITS-F13-R22	F13	R22	7	1	3	F1	NA	Microbiome	NA	Leaf	RCHMD	A14	Microbiome-Leaf-RCHMD-A14	Sample	NovaSeq
Leaf-ITS-F13-R23	F13	R23	7	1	3	G1	NA	Microbiome	NA	Leaf	SAW	C4	Microbiome-Leaf-SAW-C4	Sample	NovaSeq
Leaf-ITS-F13-R24	F13	R24	7	1	3	H1	NA	Microbiome	NA	Leaf	SLCY	C4	Microbiome-Leaf-SLCY-C4	Sample	NovaSeq
Leaf-ITS-F14-R1	F14	R1	11	4	13	A9	NA	Microbiome	NA	Leaf	HLKH	A11	Microbiome-Leaf-HLKH-A11	Sample	NovaSeq
Leaf-ITS-F14-R2	F14	R2	11	4	13	B9	NA	Microbiome	NA	Leaf	HRWD	C1	Microbiome-Leaf-HRWD-C1	Sample	NovaSeq
Leaf-ITS-F14-R3	F14	R3	11	4	13	C9	NA	Microbiome	NA	Leaf	LNGDL	A20	Microbiome-Leaf-LNGDL-A20	Sample	NovaSeq
Leaf-ITS-F14-R4	F14	R4	11	4	13	D9	NA	Microbiome	NA	Leaf	LWBKR	C4	Microbiome-Leaf-LWBKR-C4	Sample	NovaSeq
Leaf-ITS-F14-R5	F14	R5	11	4	13	E9	NA	Microbiome	NA	Leaf	SLCY	C5	Microbiome-Leaf-SLCY-C5	Sample	NovaSeq
Leaf-ITS-F14-R6	F14	R6	11	4	13	F9	NA	Microbiome	NA	Leaf	STHWK	C2	Microbiome-Leaf-STHWK-C2	Sample	NovaSeq
Leaf-ITS-F14-R7	F14	R7	11	4	13	G9	NA	Microbiome	NA	Leaf	WINDW	A20	Microbiome-Leaf-WINDW-A20	Sample	NovaSeq
Leaf-ITS-F14-R8	F14	R8	11	4	13	H9	NA	Microbiome	NA	Leaf	WLDCP	C5	Microbiome-Leaf-WLDCP-C5	Sample	NovaSeq
Leaf-ITS-F14-R9	NA	NA	NA	NA	NA	NA	NA	Microbiome	NA	Leaf	NA	NA	NA	Unused	NovaSeq
Leaf-ITS-F14-R10	NA	NA	NA	NA	NA	NA	NA	Microbiome	NA	Leaf	NA	NA	NA	Unused	NovaSeq
Leaf-ITS-F14-R11	NA	NA	NA	NA	NA	NA	NA	Microbiome	NA	Leaf	NA	NA	NA	Unused	NovaSeq
Leaf-ITS-F14-R12	NA	NA	NA	NA	NA	NA	NA	Microbiome	NA	Leaf	NA	NA	NA	Unused	NovaSeq
Leaf-ITS-F14-R13	NA	NA	NA	NA	NA	NA	NA	Microbiome	NA	Leaf	NA	NA	NA	Unused	NovaSeq
Leaf-ITS-F14-R14	NA	NA	NA	NA	NA	NA	NA	Microbiome	NA	Leaf	NA	NA	NA	Unused	NovaSeq
Leaf-ITS-F14-R15	NA	NA	NA	NA	NA	NA	NA	Microbiome	NA	Leaf	NA	NA	NA	Unused	NovaSeq
Leaf-ITS-F14-R16	NA	NA	NA	NA	NA	NA	NA	Microbiome	NA	Leaf	NA	NA	NA	Unused	NovaSeq
Leaf-ITS-F14-R17	F14	R17	7	4	13	A8	NA	Microbiome	NA	Leaf	SNDR	C2	Microbiome-Leaf-SNDR-C2	Sample	NovaSeq
Leaf-ITS-F14-R18	F14	R18	7	4	13	B8	NA	Microbiome	NA	Leaf	STHWK	A9	Microbiome-Leaf-STHWK-A9	Sample	NovaSeq
