SampleID	F	R	Extraction_batch	PCR_batch	Plate	Well	Ale_ID	SampleOrigin	IsolationMethod	Tissue	Site	Tree	GlobalSampleID	SampleType	SequencingType
D2E-16S-F21-R13	NA	NA	NA	NA	NA	NA	NA	Isolation	D2E	NA	NA	NA	NA	Unused	NovaSeq
D2E-16S-F21-R14	NA	NA	NA	NA	NA	NA	NA	Isolation	D2E	NA	NA	NA	NA	Unused	NovaSeq
D2E-16S-F21-R15	NA	NA	NA	NA	NA	NA	NA	Isolation	D2E	NA	NA	NA	NA	Unused	NovaSeq
D2E-16S-F21-R16	NA	NA	NA	NA	NA	NA	NA	Isolation	D2E	NA	NA	NA	NA	Unused	NovaSeq
D2E-16S-F21-R17	NA	NA	NA	NA	NA	NA	NA	Isolation	D2E	NA	NA	NA	NA	Unused	NovaSeq
D2E-16S-F21-R18	NA	NA	NA	NA	NA	NA	NA	Isolation	D2E	NA	NA	NA	NA	Unused	NovaSeq
D2E-16S-F21-R19	NA	NA	NA	NA	NA	NA	NA	Isolation	D2E	NA	NA	NA	NA	Unused	NovaSeq
D2E-16S-F21-R20	NA	NA	NA	NA	NA	NA	NA	Isolation	D2E	NA	NA	NA	NA	Unused	NovaSeq
D2E-16S-F21-R21	NA	NA	NA	NA	NA	NA	NA	Isolation	D2E	NA	NA	NA	NA	Unused	NovaSeq
D2E-16S-F21-R22	NA	NA	NA	NA	NA	NA	NA	Isolation	D2E	NA	NA	NA	NA	Unused	NovaSeq
D2E-16S-F21-R23	NA	NA	NA	NA	NA	NA	NA	Isolation	D2E	NA	NA	NA	NA	Unused	NovaSeq
D2E-16S-F21-R24	NA	NA	NA	NA	NA	NA	NA	Isolation	D2E	NA	NA	NA	NA	Unused	NovaSeq
D2E-16S-F22-R1	F22	R1	200	5	3	F1	PCR_NEG_CTROL_3	Isolation	D2E	PCR Negative	PCR Negative	PCR Negative	Isolation-D2E-PCR Negative-PCR Negative	PCR_Negative	NovaSeq
D2E-16S-F22-R2	F22	R2	200	5	3	F2	126	Isolation	D2E	Leaf	MTRD	C3	Isolation-D2E-MTRD-C3	Sample	NovaSeq
D2E-16S-F22-R3	F22	R3	200	5	3	F3	192	Isolation	D2E	Leaf	WINDW	C4	Isolation-D2E-WINDW-C4	Sample	NovaSeq
D2E-16S-F22-R4	F22	R4	200	5	3	F4	230	Isolation	D2E	Leaf	STRTS	C4	Isolation-D2E-STRTS-C4	Sample	NovaSeq
D2E-16S-F22-R5	F22	R5	200	5	3	F5	274	Isolation	D2E	Leaf	LANGDL	C5	Isolation-D2E-LANGDL-C5	Sample	NovaSeq
D2E-16S-F22-R6	F22	R6	200	5	3	F6	338	Isolation	D2E	Soil	SLCY	C4	Isolation-D2E-SLCY-C4	Sample	NovaSeq
D2E-16S-F22-R7	F22	R7	200	5	3	F7	27	Isolation	D2E	Soil	WINDW	C1	Isolation-D2E-WINDW-C1	Sample	NovaSeq
D2E-16S-F22-R8	F22	R8	200	5	3	F8	99	Isolation	D2E	Soil	DYMK	C2	Isolation-D2E-DYMK-C2	Sample	NovaSeq
D2E-16S-F22-R9	F22	R9	200	5	3	F9	161	Isolation	D2E	Soil	CDS	C3	Isolation-D2E-CDS-C3	Sample	NovaSeq
D2E-16S-F22-R10	F22	R10	200	5	3	F10	189	Isolation	D2E	Soil	BBW	C4	Isolation-D2E-BBW-C4	Sample	NovaSeq
D2E-16S-F22-R11	F22	R11	200	5	3	F11	244	Isolation	D2E	Leaf	LWBKR	C5	Isolation-D2E-LWBKR-C5	Sample	NovaSeq
D2E-16S-F22-R12	F22	R12	200	5	3	F12	82	Isolation	D2E	Leaf	LWBKR	C2	Isolation-D2E-LWBKR-C2	Sample	NovaSeq
D2E-16S-F22-R13	NA	NA	NA	NA	NA	NA	NA	Isolation	D2E	NA	NA	NA	NA	Unused	NovaSeq
D2E-16S-F22-R14	NA	NA	NA	NA	NA	NA	NA	Isolation	D2E	NA	NA	NA	NA	Unused	NovaSeq
D2E-16S-F22-R15	NA	NA	NA	NA	NA	NA	NA	Isolation	D2E	NA	NA	NA	NA	Unused	NovaSeq
D2E-16S-F22-R16	NA	NA	NA	NA	NA	NA	NA	Isolation	D2E	NA	NA	NA	NA	Unused	NovaSeq
D2E-16S-F22-R17	NA	NA	NA	NA	NA	NA	NA	Isolation	D2E	NA	NA	NA	NA	Unused	NovaSeq
D2E-16S-F22-R18	NA	NA	NA	NA	NA	NA	NA	Isolation	D2E	NA	NA	NA	NA	Unused	NovaSeq
D2E-16S-F22-R19	NA	NA	NA	NA	NA	NA	NA	Isolation	D2E	NA	NA	NA	NA	Unused	NovaSeq
D2E-16S-F22-R20	NA	NA	NA	NA	NA	NA	NA	Isolation	D2E	NA	NA	NA	NA	Unused	NovaSeq
D2E-16S-F22-R21	NA	NA	NA	NA	NA	NA	NA	Isolation	D2E	NA	NA	NA	NA	Unused	NovaSeq
D2E-16S-F22-R22	NA	NA	NA	NA	NA	NA	NA	Isolation	D2E	NA	NA	NA	NA	Unused	NovaSeq
D2E-16S-F22-R23	NA	NA	NA	NA	NA	NA	NA	Isolation	D2E	NA	NA	NA	NA	Unused	NovaSeq
D2E-16S-F22-R24	NA	NA	NA	NA	NA	NA	NA	Isolation	D2E	NA	NA	NA	NA	Unused	NovaSeq
D2E-16S-F23-R1	F23	R1	200	5	3	G1	61	Isolation	D2E	Soil	ANCST	C2	Isolation-D2E-ANCST-C2	Sample	NovaSeq
D2E-16S-F23-R2	F23	R2	200	5	3	G2	133	Isolation	D2E	Soil	HRWD	C3	Isolation-D2E-HRWD-C3	Sample	NovaSeq
D2E-16S-F23-R3	F23	R3	200	5	3	G3	359	Isolation	D2E	Leaf	SAW	C5	Isolation-D2E-SAW-C5	Sample	NovaSeq
D2E-16S-F23-R4	F23	R4	200	5	3	G4	239	Isolation	D2E	Soil	MALDW	C4	Isolation-D2E-MALDW-C4	Sample	NovaSeq
D2E-16S-F23-R5	F23	R5	200	5	3	G5	276	Isolation	D2E	Leaf	CROC	C5	Isolation-D2E-CROC-C5	Sample	NovaSeq
D2E-16S-F23-R6	F23	R6	200	5	3	G6	340	Isolation	D2E	Leaf	SLCY	C4	Isolation-D2E-SLCY-C4	Sample	NovaSeq
D2E-16S-F23-R7	F23	R7	200	5	3	G7	32	Isolation	D2E	Leaf	RWDN	C1	Isolation-D2E-RWDN-C1	Sample	NovaSeq
D2E-16S-F23-R8	F23	R8	200	5	3	G8	129	Isolation	D2E	Soil	BBW	C3	Isolation-D2E-BBW-C3	Sample	NovaSeq
D2E-16S-F23-R9	F23	R9	200	5	3	G9	163	Isolation	D2E	Soil	STRTS	C3	Isolation-D2E-STRTS-C3	Sample	NovaSeq
D2E-16S-F23-R10	F23	R10	200	5	3	G10	201	Isolation	D2E	Soil	MCOU	C4	Isolation-D2E-MCOU-C4	Sample	NovaSeq
D2E-16S-F23-R11	F23	R11	200	5	3	G11	246	Isolation	D2E	Leaf	MTRD	C5	Isolation-D2E-MTRD-C5	Sample	NovaSeq
D2E-16S-F23-R12	F23	R12	200	5	3	G12	DNA_Neg_9	Isolation	D2E	Negctrl	Negctrl	Negctrl	Isolation-D2E-Negctrl-Negctrl	DNA_Negative	NovaSeq
D2E-16S-F23-R13	NA	NA	NA	NA	NA	NA	NA	Isolation	D2E	NA	NA	NA	NA	Unused	NovaSeq
D2E-16S-F23-R14	NA	NA	NA	NA	NA	NA	NA	Isolation	D2E	NA	NA	NA	NA	Unused	NovaSeq
D2E-16S-F23-R15	NA	NA	NA	NA	NA	NA	NA	Isolation	D2E	NA	NA	NA	NA	Unused	NovaSeq
D2E-16S-F23-R16	NA	NA	NA	NA	NA	NA	NA	Isolation	D2E	NA	NA	NA	NA	Unused	NovaSeq
D2E-16S-F23-R17	NA	NA	NA	NA	NA	NA	NA	Isolation	D2E	NA	NA	NA	NA	Unused	NovaSeq
D2E-16S-F23-R18	NA	NA	NA	NA	NA	NA	NA	Isolation	D2E	NA	NA	NA	NA	Unused	NovaSeq
D2E-16S-F23-R19	NA	NA	NA	NA	NA	NA	NA	Isolation	D2E	NA	NA	NA	NA	Unused	NovaSeq
D2E-16S-F23-R20	NA	NA	NA	NA	NA	NA	NA	Isolation	D2E	NA	NA	NA	NA	Unused	NovaSeq
D2E-16S-F23-R21	NA	NA	NA	NA	NA	NA	NA	Isolation	D2E	NA	NA	NA	NA	Unused	NovaSeq
D2E-16S-F23-R22	NA	NA	NA	NA	NA	NA	NA	Isolation	D2E	NA	NA	NA	NA	Unused	NovaSeq
D2E-16S-F23-R23	NA	NA	NA	NA	NA	NA	NA	Isolation	D2E	NA	NA	NA	NA	Unused	NovaSeq
D2E-16S-F23-R24	NA	NA	NA	NA	NA	NA	NA	Isolation	D2E	NA	NA	NA	NA	Unused	NovaSeq
D2E-16S-F24-R1	F24	R1	200	5	3	H1	68	Isolation	D2E	Leaf	LINEAG	C2	Isolation-D2E-LINEAG-C2	Sample	NovaSeq
D2E-16S-F24-R2	F24	R2	200	5	3	H2	135	Isolation	D2E	Soil	ATTP	C3	Isolation-D2E-ATTP-C3	Sample	NovaSeq
D2E-16S-F24-R3	F24	R3	200	5	3	H3	194	Isolation	D2E	Leaf	HRWD	C4	Isolation-D2E-HRWD-C4	Sample	NovaSeq
D2E-16S-F24-R4	F24	R4	200	5	3	H4	CP_36_tree_16S	Isolation	Agar	All	LANGDL	C1	Isolation-Agar-LANGDL-C1	Sample	NovaSeq
D2E-16S-F24-R5	F24	R5	200	5	3	H5	286	Isolation	D2E	Leaf	DYMK	C5	Isolation-D2E-DYMK-C5	Sample	NovaSeq
D2E-16S-F24-R6	F24	R6	200	5	3	H6	344	Isolation	D2E	Leaf	BBW	C4	Isolation-D2E-BBW-C4	Sample	NovaSeq
D2E-16S-F24-R7	F24	R7	200	5	3	H7	51	Isolation	D2E	Soil	MOCCA	C1	Isolation-D2E-MOCCA-C1	Sample	NovaSeq
D2E-16S-F24-R8	F24	R8	200	5	3	H8	130	Isolation	D2E	Leaf	BBW	C3	Isolation-D2E-BBW-C3	Sample	NovaSeq
D2E-16S-F24-R9	F24	R9	200	5	3	H9	171	Isolation	D2E	Soil	WLDCP	C3	Isolation-D2E-WLDCP-C3	Sample	NovaSeq
D2E-16S-F24-R10	F24	R10	200	5	3	H10	203	Isolation	D2E	Soil	CDPM	C4	Isolation-D2E-CDPM-C4	Sample	NovaSeq
D2E-16S-F24-R11	F24	R11	200	5	3	H11	249	Isolation	D2E	Soil	BBW	C5	Isolation-D2E-BBW-C5	Sample	NovaSeq
D2E-16S-F24-R12	F24	R12	200	5	3	H12	CP_30_tree_16S	Isolation	Agar	All	DYMK	C5	Isolation-Agar-DYMK-C5	Sample	NovaSeq
D2E-16S-F24-R13	NA	NA	NA	NA	NA	NA	NA	Isolation	D2E	NA	NA	NA	NA	Unused	NovaSeq
D2E-16S-F24-R14	NA	NA	NA	NA	NA	NA	NA	Isolation	D2E	NA	NA	NA	NA	Unused	NovaSeq
D2E-16S-F24-R15	NA	NA	NA	NA	NA	NA	NA	Isolation	D2E	NA	NA	NA	NA	Unused	NovaSeq
D2E-16S-F24-R16	NA	NA	NA	NA	NA	NA	NA	Isolation	D2E	NA	NA	NA	NA	Unused	NovaSeq
D2E-16S-F24-R17	NA	NA	NA	NA	NA	NA	NA	Isolation	D2E	NA	NA	NA	NA	Unused	NovaSeq
D2E-16S-F24-R18	NA	NA	NA	NA	NA	NA	NA	Isolation	D2E	NA	NA	NA	NA	Unused	NovaSeq
D2E-16S-F24-R19	NA	NA	NA	NA	NA	NA	NA	Isolation	D2E	NA	NA	NA	NA	Unused	NovaSeq
D2E-16S-F24-R20	NA	NA	NA	NA	NA	NA	NA	Isolation	D2E	NA	NA	NA	NA	Unused	NovaSeq
D2E-16S-F24-R21	NA	NA	NA	NA	NA	NA	NA	Isolation	D2E	NA	NA	NA	NA	Unused	NovaSeq
D2E-16S-F24-R22	NA	NA	NA	NA	NA	NA	NA	Isolation	D2E	NA	NA	NA	NA	Unused	NovaSeq
D2E-16S-F24-R23	NA	NA	NA	NA	NA	NA	NA	Isolation	D2E	NA	NA	NA	NA	Unused	NovaSeq
D2E-16S-F24-R24	NA	NA	NA	NA	NA	NA	NA	Isolation	D2E	NA	NA	NA	NA	Unused	NovaSeq
