SampleID	F	R	Extraction_batch	PCR_batch	Plate	Well	Ale_ID	SampleOrigin	IsolationMethod	Tissue	Site	Tree	GlobalSampleID	SampleType	SequencingType
Agar-16S-F10-R4	F10	R4	201	6	2	B4	110	Isolation	Agar	All	ANCST	C5	Isolation-Agar-ANCST-C5	Sample	MiSeq
Agar-16S-F10-R5	F10	R5	201	6	2	B5	111	Isolation	Agar	All	HRWD	C1	Isolation-Agar-HRWD-C1	Sample	MiSeq
Agar-16S-F10-R6	F10	R6	201	6	2	B6	112	Isolation	Agar	All	HRWD	C2	Isolation-Agar-HRWD-C2	Sample	MiSeq
Agar-16S-F10-R7	F10	R7	201	6	2	B7	113	Isolation	Agar	All	HRWD	C3	Isolation-Agar-HRWD-C3	Sample	MiSeq
Agar-16S-F10-R8	F10	R8	201	6	2	B8	114	Isolation	Agar	All	HRWD	C4	Isolation-Agar-HRWD-C4	Sample	MiSeq
Agar-16S-F10-R9	F10	R9	201	6	2	B9	115	Isolation	Agar	All	HRWD	C5	Isolation-Agar-HRWD-C5	Sample	MiSeq
Agar-16S-F10-R10	F10	R10	201	6	2	B10	116	Isolation	Agar	All	BBW	C1	Isolation-Agar-BBW-C1	Sample	MiSeq
Agar-16S-F10-R11	F10	R11	201	6	2	B11	117	Isolation	Agar	All	BBW	C2	Isolation-Agar-BBW-C2	Sample	MiSeq
Agar-16S-F10-R12	F10	R12	201	6	2	B12	118	Isolation	Agar	All	BBW	C3	Isolation-Agar-BBW-C3	Sample	MiSeq
Agar-16S-F10-R13	NA	NA	NA	NA	NA	NA	NA	Isolation	Agar	All	NA	NA	NA	Unused	MiSeq
Agar-16S-F10-R14	NA	NA	NA	NA	NA	NA	NA	Isolation	Agar	All	NA	NA	NA	Unused	MiSeq
Agar-16S-F10-R15	NA	NA	NA	NA	NA	NA	NA	Isolation	Agar	All	NA	NA	NA	Unused	MiSeq
Agar-16S-F10-R16	NA	NA	NA	NA	NA	NA	NA	Isolation	Agar	All	NA	NA	NA	Unused	MiSeq
Agar-16S-F10-R17	NA	NA	NA	NA	NA	NA	NA	Isolation	Agar	All	NA	NA	NA	Unused	MiSeq
Agar-16S-F10-R18	NA	NA	NA	NA	NA	NA	NA	Isolation	Agar	All	NA	NA	NA	Unused	MiSeq
Agar-16S-F10-R19	NA	NA	NA	NA	NA	NA	NA	Isolation	Agar	All	NA	NA	NA	Unused	MiSeq
Agar-16S-F10-R20	NA	NA	NA	NA	NA	NA	NA	Isolation	Agar	All	NA	NA	NA	Unused	MiSeq
Agar-16S-F10-R21	NA	NA	NA	NA	NA	NA	NA	Isolation	Agar	All	NA	NA	NA	Unused	MiSeq
Agar-16S-F10-R22	NA	NA	NA	NA	NA	NA	NA	Isolation	Agar	All	NA	NA	NA	Unused	MiSeq
Agar-16S-F10-R23	NA	NA	NA	NA	NA	NA	NA	Isolation	Agar	All	NA	NA	NA	Unused	MiSeq
Agar-16S-F10-R24	NA	NA	NA	NA	NA	NA	NA	Isolation	Agar	All	NA	NA	NA	Unused	MiSeq
Agar-16S-F11-R1	F11	R1	201	6	2	C1	119	Isolation	Agar	All	BBW	C4	Isolation-Agar-BBW-C4	Sample	MiSeq
Agar-16S-F11-R2	F11	R2	201	6	2	C2	120	Isolation	Agar	All	BBW	C5	Isolation-Agar-BBW-C5	Sample	MiSeq
Agar-16S-F11-R3	F11	R3	201	6	2	C3	121	Isolation	Agar	All	LWBKR	C1	Isolation-Agar-LWBKR-C1	Sample	MiSeq
Agar-16S-F11-R4	F11	R4	201	6	2	C4	122	Isolation	Agar	All	LWBKR	C2	Isolation-Agar-LWBKR-C2	Sample	MiSeq
Agar-16S-F11-R5	F11	R5	201	6	2	C5	123	Isolation	Agar	All	LWBKR	C3	Isolation-Agar-LWBKR-C3	Sample	MiSeq
Agar-16S-F11-R6	F11	R6	201	6	2	C6	124	Isolation	Agar	All	LWBKR	C4	Isolation-Agar-LWBKR-C4	Sample	MiSeq
Agar-16S-F11-R7	F11	R7	201	6	2	C7	125	Isolation	Agar	All	LWBKR	C5	Isolation-Agar-LWBKR-C5	Sample	MiSeq
Agar-16S-F11-R8	F11	R8	201	6	2	C8	126	Isolation	Agar	All	MTRD	C1	Isolation-Agar-MTRD-C1	Sample	MiSeq
