Plate,Well,Tube,Extraction,Date,Tissue,Site,Tree,SampleWeight,Fluoro,Conc,Band_intensity,Pool,Fw_barcode,Rev_barcode
13,H6,NA,5,25/02/2022,Leaf,HTCH,A7,0.22,461.239,27.47791948,High,Y,F4,R16
2,A5,NA,5,25/02/2022,Leaf,HTCH,A15,0.18,1013.976,68.47069783,High,Y,F5,R9
2,B5,NA,5,25/02/2022,Leaf,LINEAG,C3,0.22,835.781,52.11341938,High,Y,F5,R10
2,C5,NA,R,07/04/2022,Leaf,LNGDL,A10,0.19,866.415,54.92544479,High,Y,F5,R11
2,D5,NA,5,25/02/2022,Leaf,LNGDL,A6,0.22,758.339,45.00468817,High,Y,F5,R12
2,E5,NA,5,25/02/2022,Leaf,LWBKR,C1,0.23,721.996,41.66860932,High,Y,F5,R13
2,F5,NA,R,07/04/2022,Leaf,MCOU,C4,0.2,741.725,43.47961831,High,Y,F5,R14
2,G5,NA,5,25/02/2022,Leaf,MOCCA,A6,0.19,463.217,17.91418209,High,Y,F5,R15
2,H5,NA,5,25/02/2022,Leaf,MOCCA,A14,0.21,654.067,35.43311692,High,Y,F5,R16
2,A6,NA,5,25/02/2022,Leaf,MOCCA,A18,0.18,740.201,43.33972385,High,Y,F6,R9
2,B6,NA,5,25/02/2022,Leaf,RCHMD,A18,0.19,815.835,50.28249104,High,Y,F6,R10
2,C6,NA,5,25/02/2022,Leaf,RCHMD,C4,0.18,693.683,39.06963839,High,Y,F6,R11
2,D6,NA,5,25/02/2022,Leaf,RWDN,C4,0.16,646.786,34.7647629,High,Y,F6,R12
2,E6,NA,5,25/02/2022,Leaf,STHWK,C1,0.23,823.521,50.98802173,High,Y,F6,R13
2,F6,NA,5,25/02/2022,Leaf,STHWK,C5,0.16,679.062,37.72751449,Low,Y,F6,R14
2,G6,NA,5,25/02/2022,Leaf,STHWK,A16,0.2,694.184,39.11562732,High,Y,F6,R15
2,H6,NA,5,25/02/2022,Leaf,TAWWD,C3,0.23,763.954,45.52011295,High,Y,F6,R16
13,A7,NA,5,25/02/2022,Leaf,WINDW,A8,0.14,644.94,41.5683384,High,Y,F7,R9
13,B7,NA,5,25/02/2022,Leaf,ANCST,C3,0.19,643.867,41.48603607,High,Y,F7,R10
13,C7,NA,5,25/02/2022,Leaf,ANCST,C1,0.16,578.004,36.43414598,High,Y,F7,R11
13,D7,NA,5,25/02/2022,Leaf,ATTP,A19,0.21,699.068,45.72011871,High,Y,F7,R12
13,E7,NA,5,25/02/2022,Leaf,BBW,C4,0.18,875.778,59.27430692,High,Y,F7,R13
13,F7,NA,5,25/02/2022,Leaf,BBW,C5,0.19,661.782,42.86017043,High,Y,F7,R14
13,G7,NA,5,25/02/2022,Leaf,CDPM,C2,0.19,750.155,49.63864519,High,Y,F7,R15
13,H7,NA,5,25/02/2022,Leaf,DYMK,C5,0.22,461.239,27.47791948,High,Y,F7,R16
2,A8,NA,R,07/04/2022,Leaf,GMKW,A13,NA,994.961,66.72522995,High,Y,F8,R9
2,B8,NA,6,07/03/2022,Leaf,HLKH,A20,NA,834.349,51.98197,High,Y,F8,R10
2,C8,NA,6,07/03/2022,Leaf,HLKH,A7,NA,760.256,45.18065777,High,Y,F8,R11
2,D8,NA,6,07/03/2022,Leaf,HOEF,C1,NA,781.97,47.17387837,High,Y,F8,R12
2,E8,NA,6,07/03/2022,Leaf,HOEF,A17,NA,826.356,51.24825846,High,Y,F8,R13
2,F8,NA,6,07/03/2022,Leaf,HOEF,A14,NA,749.61,44.20341606,High,Y,F8,R14
2,G8,NA,6,07/03/2022,Leaf,HTCH,C5,NA,979.083,65.26772066,High,Y,F8,R15
2,H8,NA,6,07/03/2022,Leaf,HTCH,C2,NA,926.027,60.39748432,High,Y,F8,R16
2,A9,NA,R,07/04/2022,Leaf,LINEAG,C2,NA,752.343,44.45428978,High,Y,F9,R9
2,B9,NA,6,07/03/2022,Leaf,MALDW,C1,NA,870.11,55.26462459,High,Y,F9,R10
2,C9,NA,6,07/03/2022,Leaf,MCOU,C5,NA,775.575,46.58685407,High,Y,F9,R11
2,D9,NA,6,07/03/2022,Leaf,MOCCA,A15,NA,784.727,47.42695515,High,Y,F9,R12
2,E9,NA,6,07/03/2022,Leaf,MOCCA,C5,NA,662.834,36.23787721,High,Y,F9,R13
2,F9,NA,6,07/03/2022,Leaf,RCHMD,A19,NA,833.712,51.92349705,High,Y,F9,R14
2,G9,NA,6,07/03/2022,Leaf,RCHMD,A20,NA,723.256,41.78427009,High,Y,F9,R15
2,H9,NA,6,07/03/2022,Leaf,RCHMD,A7,NA,695.958,39.27847034,High,Y,F9,R16
2,A10,NA,6,07/03/2022,Leaf,STHWK,C3,NA,738.003,43.13796007,High,Y,F10,R9
2,B10,NA,6,07/03/2022,Leaf,STHWK,A7,NA,787.841,47.71280248,High,Y,F10,R10
2,C10,NA,6,07/03/2022,Leaf,STRTS,C2,NA,700.541,39.69916344,High,Y,F10,R11
2,D10,NA,6,07/03/2022,Leaf,WINDW,A7,NA,691.043,38.82730154,High,Y,F10,R12
2,E10,NA,6,07/03/2022,Leaf,WINDW,A6,NA,918.372,59.69479924,High,Y,F10,R13
2,F10,NA,6,07/03/2022,Leaf,Negctrl,NA,NA,124.67,-13.1624898,Low,Y,F10,R14
2,G10,NA,6,07/03/2022,Leaf,Negctrl,NA,NA,159.033,-10.00816359,Low,Y,F10,R15
2,H10,NA,7,08/03/2022,Leaf,ATTP,A6,0.21,615.713,31.91243981,High,Y,F10,R16
2,A11,NA,7,08/03/2022,Leaf,ATTP,A13,0.21,1134.95,79.57541684,High,Y,F11,R9
2,B11,NA,7,08/03/2022,Leaf,ATTP,A8,0.16,1070.286,73.6396327,High,Y,F11,R10
2,C11,NA,7,08/03/2022,Leaf,ATTP,A9,0.19,754.237,44.62814811,High,Y,F11,R11
2,D11,NA,7,08/03/2022,Leaf,ATTP,A11,0.21,712.635,40.80932324,High,Y,F11,R12
2,E11,NA,7,08/03/2022,Leaf,CDPM,C1,0.2,754.121,44.61749998,High,Y,F11,R13
2,F11,NA,7,08/03/2022,Leaf,CROC,C3,0.2,664.651,36.40466739,High,Y,F11,R14
2,G11,NA,7,08/03/2022,Leaf,CROC,C1,0.21,525.87,23.66536797,High,Y,F11,R15
2,H11,NA,7,08/03/2022,Leaf,GMKW,A7,0.18,498.67,21.16856405,High,Y,F11,R16
2,A12,NA,7,08/03/2022,Leaf,GMKW,A9,0.15,917.225,59.58951122,High,Y,F12,R9
2,B12,NA,7,08/03/2022,Leaf,HOEF,C3,0.15,1009.818,68.08901729,High,Y,F12,R10
2,C12,NA,7,08/03/2022,Leaf,HTCH,A14,0.17,944.724,62.11376163,High,Y,F12,R11
2,D12,NA,7,08/03/2022,Leaf,HTCH,A8,0.15,853.264,53.71825846,High,Y,F12,R12
2,E12,NA,7,08/03/2022,Leaf,LNGDL,A8,0.15,714.202,40.95316485,High,Y,F12,R13
2,F12,NA,7,08/03/2022,Leaf,LNGDL,C5,0.19,630.075,33.230789,High,Y,F12,R14
2,G12,NA,7,08/03/2022,Leaf,LNGDL,A12,0.2,773.695,46.41428085,High,Y,F12,R15
2,H12,NA,7,08/03/2022,Leaf,LNGDL,A17,0.16,693.002,39.0071265,High,Y,F12,R16
3,A1,NA,R,07/04/2022,Leaf,LNGDL,A19,0.16,665.549,36.48709864,High,Y,F13,R17
3,B1,NA,7,08/03/2022,Leaf,LWBKR,C5,0.19,666.287,36.5548428,High,Y,F13,R18
3,C1,NA,7,08/03/2022,Leaf,MALDW,C2,0.18,683.073,38.09570128,High,Y,F13,R19
3,D1,NA,7,08/03/2022,Leaf,MOCCA,C2,0.22,672.612,37.13544151,High,Y,F13,R20
3,E1,NA,7,08/03/2022,Leaf,MOCCA,A12,0.2,744.328,43.71855877,High,Y,F13,R21
3,F1,NA,7,08/03/2022,Leaf,RCHMD,A14,0.26,665.649,36.49627806,High,Y,F13,R22
3,G1,NA,7,08/03/2022,Leaf,SAW,C4,0.2,572.842,27.97712802,High,Y,F13,R23
3,H1,NA,7,08/03/2022,Leaf,SLCY,C4,0.21,507.946,22.02004762,Mid,Y,F13,R24
13,A8,NA,7,08/03/2022,Leaf,SNDR,C2,0.24,872.836,59.04864668,High,Y,F14,R17
13,B8,NA,7,08/03/2022,Leaf,STHWK,A9,0.16,989.082,67.96506432,High,Y,F14,R18
13,C8,NA,7,08/03/2022,Leaf,WINDW,A14,0.21,692.723,45.23343814,High,Y,F14,R19
13,D8,NA,7,08/03/2022,Leaf,WINDW,A11,0.18,1018.846,70.2480526,High,Y,F14,R20
13,E8,NA,7,08/03/2022,Leaf,Negctrl,NA,0.01,470.758,28.20805539,Low,Y,F14,R21
13,F8,NA,8,09/03/2022,Leaf,ANCST,C2,0.18,616.733,39.40477671,High,Y,F14,R22
13,G8,NA,8,09/03/2022,Leaf,ASHC,C3,0.15,595.223,37.75489505,High,Y,F14,R23
13,H8,NA,8,09/03/2022,Leaf,ASHC,C2,0.25,635.764,40.86451162,High,Y,F14,R24
3,A3,NA,8,09/03/2022,Leaf,DYMK,C3,0.29,912.615,59.16633968,High,Y,F15,R17
3,B3,NA,8,09/03/2022,Leaf,DYMK,C2,0.24,713.244,40.86522594,High,Y,F15,R18
3,C3,NA,8,09/03/2022,Leaf,GMKW,A16,0.22,779.557,46.95237881,High,Y,F15,R19
3,D3,NA,8,09/03/2022,Leaf,HLKH,A8,0.23,800.865,48.90833094,High,Y,F15,R20
3,E3,NA,8,09/03/2022,Leaf,HLKH,C2,0.22,702.369,39.86696335,High,Y,F15,R21
3,F3,NA,8,09/03/2022,Leaf,HLKH,A19,0.25,623.116,32.59199273,Mid,Y,F15,R22
3,G3,NA,8,09/03/2022,Leaf,HLKH,A13,0.24,702.417,39.87136947,High,Y,F15,R23
3,H3,NA,8,09/03/2022,Leaf,HOEF,A18,0.19,805.337,49.31883488,High,Y,F15,R24
3,A4,NA,8,09/03/2022,Leaf,HRWD,C4,0.21,1062.343,72.91051088,High,Y,F16,R17
3,B4,NA,8,09/03/2022,Leaf,HTCH,A20,0.22,878.261,56.01283961,High,Y,F16,R18
3,C4,NA,8,09/03/2022,Leaf,LNGDL,C1,0.18,788.265,47.75172325,High,Y,F16,R19
3,D4,NA,8,09/03/2022,Leaf,LNGDL,A13,0.16,725.555,41.9953051,High,Y,F16,R20
3,E4,NA,8,09/03/2022,Leaf,LNGDL,A18,0.23,769.903,46.06619701,High,Y,F16,R21
3,F4,NA,8,09/03/2022,Leaf,LWBKR,C2,0.2,699.548,39.60801174,High,Y,F16,R22
3,G4,NA,8,09/03/2022,Leaf,MCOU,C3,0.22,674.138,37.27551955,High,Y,F16,R23
3,H4,NA,8,09/03/2022,Leaf,MCOU,C1,0.21,855.634,53.93581086,High,Y,F16,R24
3,A5,NA,8,09/03/2022,Leaf,MTRD,C5,0.2,782.009,47.17745834,High,Y,F17,R17
3,B5,NA,8,09/03/2022,Leaf,MTRD,C2,0.26,671.694,37.05117437,High,Y,F17,R18
3,C5,NA,8,09/03/2022,Leaf,RCHMD,A13,0.28,942.423,61.90254303,High,Y,F17,R19
3,D5,NA,8,09/03/2022,Leaf,STHWK,A19,0.17,727.889,42.20955291,High,Y,F17,R20
3,E5,NA,8,09/03/2022,Leaf,WINDW,A9,0.17,706.006,40.20081908,High,Y,F17,R21
3,F5,NA,8,09/03/2022,Leaf,WINDW,A12,0.23,615.199,31.86525756,Mid,Y,F17,R22
3,G5,NA,8,09/03/2022,Leaf,WINDW,C2,0.19,810.165,49.76201757,High,Y,F17,R23
3,H5,NA,8,09/03/2022,Leaf,WINDW,C1,0.22,717.733,41.27729038,High,Y,F17,R24
3,A6,NA,8,09/03/2022,Leaf,WLDCP,C2,0.21,731.083,42.50274378,High,Y,F18,R17
3,B6,NA,8,09/03/2022,Leaf,WLDCP,C3,0.18,826.218,51.23559086,High,Y,F18,R18
