Plate,Well,F,R,SampleOrigin,SampleID,Site,Tissue,D2E_replicate,Tree,Date
6,B11,F10,R11,D2E,339,SLCY,LEAF,2,C4,14/10/2022
6,C11,F11,R11,D2E,342,BBW,ROOT,3,C4,14/10/2022
6,D11,F12,R11,D2E,347,CDPM,LEAF,1,C4,14/10/2022
6,E11,F13,R11,D2E,355,MCOU,LEAF,2,C5,14/10/2022
6,F11,F14,R11,D2E,357,SAW,ROOT,1,C5,14/10/2022
6,G11,F15,R11,D2E,358,SAW,ROOT,2,C5,14/10/2022
6,H11,F16,R11,D2E,No_used_combination,No_used_combination,No_used_combination,No_used_combination,No_used_combination,No_used_combination
6,A12,F9,R12,D2E,CP_1_tree_16S,ASHC,ALL,NA,C1,
6,B12,F10,R12,D2E,CP_5_tree_16S,ASHC,ALL,NA,C5,
6,C12,F11,R12,D2E,CP_31_tree_16S,WLDCP,ALL,NA,C1,
6,D12,F12,R12,D2E,CP_32_tree_16S,WLDCP,ALL,NA,C3+C2,
6,E12,F13,R12,D2E,CP_33_tree_16S,WLDCP,ALL,NA,C2+C3,
6,F12,F14,R12,D2E,CP_34_tree_16S,WLDCP,ALL,NA,C4,
6,G12,F15,R12,D2E,CP_35_tree_16S,WLDCP,ALL,NA,C5,
6,H12,F16,R12,D2E,CP_40_tree_16S,LNGDL,ALL,NA,C5,
7,A1,F17,R1,D2E,4,CDPM,LEAF,2,C1,17/10/2022
7,B1,F18,R1,D2E,10,STHWK,LEAF,1,C1,17/10/2022
7,C1,F19,R1,D2E,13,ASHC,ROOT,2,C1,17/10/2022
7,D1,F20,R1,D2E,23,LWBKR,ROOT,2,C1,17/10/2022
7,E1,F21,R1,D2E,34,HARWD,LEAF,1,C1,17/10/2022
7,F1,F22,R1,D2E,PCR_NEG_CTROL_3,PCR_NEG_CTROL_3,PCR_NEG_CTROL_3,PCR_NEG_CTROL_3,PCR_NEG_CTROL_3,
7,G1,F23,R1,D2E,61,ANCST,ROOT,1,C2,17/10/2022
7,H1,F24,R1,D2E,68,LINEAG,LEAF,2,C2,17/10/2022
7,A2,F17,R2,D2E,76,BBW,LEAF,1,C2,17/10/2022
7,B2,F18,R2,D2E,80,RWDN,LEAF,3,C2,17/10/2022
7,C2,F19,R2,D2E,112,WLDCP,LEAF,3,C2,17/10/2022
7,D2,F20,R2,D2E,115,MOCCA,ROOT,1,C2,17/10/2022
7,E2,F21,R2,D2E,123,LWBKR,ROOT,3,C3,17/10/2022
7,F2,F22,R2,D2E,126,MTRD,LEAF,1,C3,17/10/2022
7,G2,F23,R2,D2E,133,HRWD,ROOT,3,C3,17/10/2022
7,H2,F24,R2,D2E,135,ATTP,ROOT,3,C3,17/10/2022
7,A3,F17,R3,D2E,139,ANCST,ROOT,1,C3,17/10/2022
7,B3,F18,R3,D2E,145,SLCY,ROOT,3,C3,17/10/2022
7,C3,F19,R3,D2E,160,DYMK,LEAF,2,C3,17/10/2022
7,D3,F20,R3,D2E,174,HOEF,LEAF,1,C3,17/10/2022
7,E3,F21,R3,D2E,176,MOCCA,LEAF,1,C3,17/10/2022
7,F3,F22,R3,D2E,192,WINDW,LEAF,2,C4,17/10/2022
7,G3,F23,R3,D2E,359,SAW,LEAF,2,C5,17/10/2022
7,H3,F24,R3,D2E,194,HRWD,LEAF,3,C4,17/10/2022
7,A4,F17,R4,D2E,200,STHWK,LEAF,1,C4,17/10/2022
7,B4,F18,R4,D2E,207,RCHMD,ROOT,2,C4,17/10/2022
7,C4,F19,R4,D2E,215,HLKH,ROOT,1,C4,17/10/2022
7,D4,F20,R4,D2E,219,TAWWD,ROOT,3,C4,17/10/2022
7,E4,F21,R4,D2E,226,CROC,LEAF,2,C4,17/10/2022
7,F4,F22,R4,D2E,230,STRTS,LEAF,3,C4,17/10/2022
7,G4,F23,R4,D2E,239,MALDW,ROOT,1,C4,17/10/2022
7,H4,F24,R4,D2E,CP_36_tree_16S,LANGDL,ALL,NA,C1,
7,A5,F17,R5,D2E,254,HRWD,LEAF,1,C5,17/10/2022
